fold,train_size,val_size,val_win_rate,win_precision,win_recall,win_f1,pr_auc,loss_precision,loss_recall,loss_f1,balanced_accuracy,macro_f1,roc_auc
1,112,109,22.018348623853214,0.234375,0.625,0.3409090909090909,0.2775658911915059,0.8,0.4235294117647059,0.5538461538461539,0.524264705882353,0.44737762237762235,0.5544117647058824
2,221,109,19.26605504587156,0.2777777777777778,0.23809523809523808,0.2564102564102564,0.2797246941982523,0.8241758241758241,0.8522727272727273,0.8379888268156425,0.5451839826839827,0.5471995416129494,0.6471861471861471
3,330,109,13.761467889908257,0.14893617021276595,0.4666666666666667,0.22580645161290322,0.1552028096943377,0.8709677419354839,0.574468085106383,0.6923076923076923,0.5205673758865248,0.45905707196029777,0.5578014184397163
4,439,109,34.862385321100916,0.7096774193548387,0.5789473684210527,0.6376811594202898,0.6271257032190314,0.7948717948717948,0.8732394366197183,0.8322147651006712,0.7260934025203855,0.7349479622604804,0.7689028910303928
5,548,109,4.587155963302752,0.044444444444444446,0.8,0.08421052631578947,0.04555425687158708,0.9473684210526315,0.17307692307692307,0.2926829268292683,0.4865384615384616,0.18844672657252887,0.40288461538461545
